"","COD_CENSO","ano","COD_ESC","TIPOENSINO_","ef"
"1",35000012,2013,12,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"2",35000577,2015,577,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"3",35000589,2015,589,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"4",35000656,2015,656,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"5",35000978,2014,978,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"6",35001661,2014,1661,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"7",35001788,2014,1788,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"8",35001797,2014,1797,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"9",35001892,2015,1892,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"10",35001910,2016,1910,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"11",35002884,2013,2884,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"12",35002951,2015,2951,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"13",35003463,2014,3463,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"14",35003748,2015,3748,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"15",35003840,2013,3840,"EDUCACAO ESPECIAL - DF / EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"16",35003931,2014,3931,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"17",35003980,2015,3980,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"18",35004443,2016,4443,"ENSINO FUNDAMENTAL DE 9 ANOS",1
"19",35004455,2015,4455,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS",1
"20",35004510,2014,4510,"EDUCACAO ESPECIAL - DM / ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"21",35004625,2014,4625,"ENSINO FUNDAMENTAL DE 9 ANOS / ENSINO MEDIO",1
"22",35004873,2014,4873,"ENSINO FUNDAMENTAL DE 9 ANOS",1
